up__ID,status,timestamp,user
1,O,2023-07-21T20:07:58.000Z,Lindwurm
2,O,2023-07-20T02:37:18.000Z,Mustermann
3,O,2023-08-01T20:16:11.000Z,Hoffen
4,O,2023-07-20T14:57:59.000Z,Heller
5,X,2023-07-30T01:09:43.000Z,Illner
6,O,2023-07-20T05:57:06.000Z,Koslowski
7,O,2023-07-05T12:48:17.000Z,Fischer
8,A,2023-10-30T14:40:44.000Z,ANZEIGER
9,O,2023-07-11T22:47:52.000Z,Mustermann
10,X,2023-07-21T02:39:47.000Z,Gueldenpfenn
11,A,2023-08-01T22:50:12.000Z,Becker
12,O,2023-07-07T21:40:23.000Z,Martin
13,O,2023-07-08T10:44:28.000Z,Deichgraeber
14,A,2023-07-14T18:39:10.000Z,Buehler
15,X,2023-07-28T02:42:47.000Z,Buchholm
16,O,2023-07-24T09:16:52.000Z,Martin
17,O,2023-07-27T20:05:59.000Z,Montero
18,O,2023-07-26T18:41:07.000Z,Sisko
19,O,2023-07-28T22:57:29.000Z,Babilon
20,X,2023-07-10T14:26:07.000Z,Deichgraeber
21,A,2023-07-19T23:45:03.000Z,Marshall
22,O,2023-07-23T19:11:24.000Z,Koller
23,O,2023-07-21T21:26:29.000Z,Sommer
24,O,2023-08-08T15:42:55.000Z,D´Oultrement
25,X,2023-07-13T17:16:42.000Z,Sudhoff
26,O,2023-07-31T16:39:42.000Z,Cesari
27,O,2023-08-04T08:07:27.000Z,Delon
28,O,2023-08-05T14:57:34.000Z,Hansmann
29,O,2023-07-19T03:35:48.000Z,Buehler
30,X,2023-07-14T15:45:49.000Z,Deichgraeber
31,O,2023-07-11T23:30:56.000Z,Heller
32,O,2023-07-19T05:53:25.000Z,Sisko
33,O,2023-07-09T00:32:09.000Z,Benz
34,O,2023-07-21T01:08:13.000Z,Fischer
35,X,2023-07-20T18:50:59.000Z,Pan
36,O,2023-07-23T15:48:17.000Z,Detemple
37,O,2023-07-30T06:55:13.000Z,Lautenbach
38,O,2023-10-23T21:11:50.000Z,Matthaeus
39,A,2023-10-12T23:36:46.000Z,Domenech
40,X,2023-10-16T09:21:04.000Z,Detemple
41,O,2023-10-19T08:35:35.000Z,Koller
42,O,2023-10-03T17:55:41.000Z,Gutenberg
43,O,2023-10-10T18:45:23.000Z,Jeremias
44,O,2023-10-20T03:22:12.000Z,Hunter
45,X,2023-10-07T10:04:24.000Z,Trensch
46,O,2023-10-22T09:31:35.000Z,Matthaeus
47,A,2023-10-17T14:56:57.000Z,Prinz
48,A,2023-10-17T16:34:23.000Z,Rahn
49,O,2023-10-11T17:00:43.000Z,Deichgraeber
50,X,2023-10-18T05:09:55.000Z,Schneider
51,A,2023-10-18T15:18:51.000Z,Buchholm
52,A,2023-10-18T14:09:07.000Z,Eichbaum
53,O,2023-10-12T02:15:20.000Z,Montero
54,O,2023-10-11T01:41:42.000Z,Trensch
55,X,2023-10-11T10:27:43.000Z,Ryan
56,A,2023-10-16T22:13:30.000Z,Gahl
57,O,2023-10-06T07:09:30.000Z,Sisko
58,O,2023-10-06T13:32:32.000Z,Deichgraeber
59,O,2023-10-09T04:04:51.000Z,Vrsic
60,X,2023-10-17T17:06:29.000Z,Pan
61,O,2023-10-19T05:00:02.000Z,Pan
62,O,2023-10-03T11:49:21.000Z,Leisert
63,O,2023-10-09T15:05:20.000Z,Hunter
64,O,2023-10-08T20:15:02.000Z,Delon
65,X,2023-10-21T22:25:44.000Z,Benjamin
66,O,2023-07-03T12:10:58.000Z,Benz
67,O,2023-07-19T02:08:16.000Z,Lautenbach
68,O,2023-07-24T02:52:04.000Z,Hoffen
69,O,2023-07-26T05:32:00.000Z,Deichgraeber
70,X,2023-07-24T19:51:32.000Z,Fischer
71,O,2023-07-28T05:21:11.000Z,Simonen
72,A,2023-07-25T18:24:22.000Z,Buehler
73,O,2023-07-14T04:14:02.000Z,Buchholm
74,O,2023-07-14T21:11:30.000Z,Koller
75,X,2023-07-20T07:25:58.000Z,Meier
76,O,2023-07-28T03:54:18.000Z,Kirk
77,O,2023-07-27T05:29:14.000Z,Müller
78,O,2023-07-09T13:20:53.000Z,Ryan
79,A,2023-07-21T10:22:01.000Z,Fischer
80,X,2023-07-24T07:46:52.000Z,Fischmann
81,O,2023-07-10T18:14:16.000Z,Prinz
82,O,2023-07-20T13:05:13.000Z,Miguel
83,O,2023-07-20T12:56:57.000Z,Gueldenpfenn
84,O,2023-08-04T21:34:45.000Z,Sommer
85,X,2023-07-13T05:14:33.000Z,Moyano
86,O,2023-07-28T17:49:19.000Z,D´Oultrement
87,O,2023-07-22T17:02:54.000Z,Pratt
88,O,2023-07-18T08:38:15.000Z,Koller
89,O,2023-07-30T12:38:29.000Z,Kramer
90,X,2023-07-26T00:32:43.000Z,D´Oultrement
91,O,2023-07-21T00:44:37.000Z,Marshall
92,O,2023-07-20T11:41:18.000Z,Benjamin
93,O,2023-07-17T17:22:20.000Z,Marshall
94,A,2023-07-29T21:46:40.000Z,Mustermann
95,X,2023-07-20T02:55:27.000Z,Benz
96,A,2023-07-11T12:29:54.000Z,D´Oultrement
97,O,2023-08-03T10:26:45.000Z,Jacqmain
98,O,2023-07-22T23:30:23.000Z,Gueldenpfenn
99,O,2023-07-26T07:49:21.000Z,Jacqmain
100,X,2023-07-13T02:38:32.000Z,Rahn
101,A,2023-07-13T18:48:11.000Z,Kreiss
102,A,2023-07-29T06:21:59.000Z,Picard
103,O,2023-07-10T11:52:00.000Z,Weiss
104,A,2023-07-17T02:37:46.000Z,Detemple
105,X,2023-07-16T13:12:32.000Z,Cesari
106,O,2023-07-19T05:28:54.000Z,Henry
107,A,2023-07-11T14:50:53.000Z,Kramer
108,O,2023-07-08T15:13:08.000Z,Eichbaum
109,O,2023-07-23T16:13:47.000Z,Fischer
110,X,2023-07-18T09:18:05.000Z,Eichbaum
111,O,2023-07-13T01:25:37.000Z,Meier
112,O,2023-07-28T04:54:43.000Z,Babilon
113,A,2023-07-09T20:26:40.000Z,Pratt
114,O,2023-07-08T02:15:09.000Z,Babilon
115,X,2023-07-18T18:35:26.000Z,Trensch
116,A,2023-07-22T11:36:47.000Z,Illner
117,O,2023-07-28T22:13:49.000Z,Kreiss
118,O,2023-07-06T00:17:39.000Z,Kirk
119,O,2023-07-15T09:25:46.000Z,Miguel
120,X,2023-07-29T01:05:59.000Z,Babilon
121,O,2023-07-31T22:48:45.000Z,Becker
122,O,2023-07-20T23:55:14.000Z,Jeremias
123,O,2023-07-21T17:29:20.000Z,Becker
124,A,2023-07-10T18:14:58.000Z,Legrand
125,X,2023-07-27T19:57:36.000Z,Moyano
126,A,2023-07-23T01:31:11.000Z,Henry
127,O,2023-07-20T08:29:24.000Z,Picard
128,O,2023-07-30T05:40:17.000Z,Gutenberg
129,O,2023-07-17T18:22:09.000Z,Domenech
130,X,2023-07-20T09:02:53.000Z,Sudhoff
131,A,2023-07-19T20:54:01.000Z,Barth
132,A,2023-07-17T03:05:46.000Z,Becker
133,O,2023-07-02T05:20:07.000Z,Neubasler
134,O,2023-07-12T02:08:50.000Z,Mechler
135,X,2023-07-25T02:06:30.000Z,Deichgraeber
136,O,2023-07-04T19:29:00.000Z,Columbo
137,O,2023-07-03T12:42:05.000Z,Sessler
138,O,2023-07-18T12:53:21.000Z,Buchholm
139,O,2023-07-29T02:41:03.000Z,Moyano
140,X,2023-08-01T19:01:25.000Z,Kramer
141,O,2023-07-24T13:30:15.000Z,Kreiss
142,O,2023-07-18T07:54:15.000Z,Wohl
143,O,2023-07-16T11:37:28.000Z,Barth
144,O,2023-07-17T08:48:29.000Z,Jacqmain
145,X,2023-07-04T00:10:14.000Z,Lautenbach
146,O,2023-07-06T04:53:30.000Z,Jeremias
147,O,2023-07-12T01:29:18.000Z,Goelke
148,O,2023-07-21T03:58:13.000Z,Babilon
149,O,2023-07-14T04:30:19.000Z,Pan
150,X,2023-07-09T09:03:57.000Z,Becker
151,O,2023-07-30T00:02:52.000Z,Pan
152,O,2023-07-07T20:31:40.000Z,Buehler
153,O,2023-07-28T21:49:03.000Z,Gutenberg
154,O,2023-07-09T10:43:42.000Z,Goelke
155,X,2023-07-21T10:39:25.000Z,Illner
156,A,2023-07-20T07:58:08.000Z,Madeira
157,O,2023-07-14T20:48:28.000Z,Henry
158,O,2023-07-11T07:25:14.000Z,Jeremias
159,O,2023-07-27T01:05:54.000Z,Hansmann
160,X,2023-07-17T17:10:42.000Z,Sisko
161,O,2023-06-29T08:49:11.000Z,Koller
162,O,2023-07-21T04:03:16.000Z,Waldmann
163,O,2023-07-31T08:31:54.000Z,Matthaeus
164,A,2023-07-11T01:39:10.000Z,Hoffen
165,X,2023-07-13T02:17:49.000Z,Matthaeus
166,A,2023-07-22T21:00:48.000Z,Müller
167,A,2023-07-22T21:10:10.000Z,Montero
168,O,2023-08-01T12:22:11.000Z,Lautenbach
169,A,2023-07-29T00:29:12.000Z,Kreiss
170,X,2023-07-21T04:57:52.000Z,Pratt
171,A,2023-07-29T07:03:56.000Z,Gutenberg
172,O,2023-07-30T18:16:58.000Z,Simonen
173,O,2023-07-20T23:32:35.000Z,D´Oultrement
174,X,2023-07-15T00:25:34.000Z,Meier
175,A,2023-07-27T03:18:18.000Z,Deichgraeber
176,O,2023-07-11T14:39:44.000Z,Goelke
177,O,2023-07-16T16:41:49.000Z,Detemple
178,A,2023-07-16T14:10:18.000Z,Babilon
179,A,2023-07-25T09:59:40.000Z,Jacqmain
180,X,2023-07-18T12:01:03.000Z,Eichbaum
181,O,2023-07-15T06:52:05.000Z,Mechler
182,O,2023-07-20T16:11:27.000Z,Sessler
183,O,2023-07-14T03:27:31.000Z,Pan
184,A,2023-07-16T15:09:20.000Z,Heller
185,X,2023-07-14T03:38:14.000Z,Jacqmain
186,O,2023-07-29T07:11:35.000Z,Henry
187,O,2023-07-18T14:28:52.000Z,Pan
188,O,2023-07-28T17:35:14.000Z,Moyano
189,O,2023-08-03T00:23:01.000Z,Jacqmain
190,X,2023-07-21T21:15:39.000Z,Trensch
191,O,2023-07-17T17:37:28.000Z,Buehler
192,A,2023-07-11T10:49:31.000Z,Meier
193,O,2023-07-25T09:43:46.000Z,Matthaeus
194,O,2023-07-21T09:35:54.000Z,Lautenbach
195,X,2023-07-23T06:54:50.000Z,Martin
196,O,2023-07-10T11:49:19.000Z,D´Oultrement
197,A,2023-07-30T11:35:35.000Z,Sisko
198,O,2023-07-22T18:25:46.000Z,Marshall
199,O,2023-07-24T18:09:29.000Z,Rahn
200,X,2023-07-14T14:25:23.000Z,Illner
201,O,2023-07-28T08:35:58.000Z,Barth
202,O,2023-07-21T18:41:38.000Z,Wohl
203,O,2023-07-21T11:38:38.000Z,Müller
204,O,2023-07-09T07:04:17.000Z,Fischer
205,X,2023-07-19T21:31:37.000Z,Dumbach
206,A,2023-07-30T20:24:30.000Z,Vrsic
207,A,2023-07-30T12:43:14.000Z,Jacqmain
208,O,2023-07-15T13:31:44.000Z,Ryan
209,O,2023-07-19T13:06:40.000Z,Cesari
210,X,2023-07-17T03:46:27.000Z,Illner
211,O,2023-07-16T06:05:04.000Z,Vrsic
212,O,2023-07-23T10:09:31.000Z,Meier
213,O,2023-07-27T04:26:29.000Z,Wohl
214,A,2023-07-25T19:27:05.000Z,Madeira
215,X,2023-07-20T03:31:58.000Z,Kreiss
216,A,2023-08-05T04:38:16.000Z,Benz
217,A,2023-07-27T03:14:24.000Z,Dumbach
218,A,2023-08-06T04:17:03.000Z,Deichgraeber
219,O,2023-07-26T09:41:29.000Z,Cesari
220,X,2023-07-25T06:15:56.000Z,Neubasler
221,A,2023-07-22T21:40:18.000Z,Montero
222,O,2023-07-21T09:20:13.000Z,Sessler
223,O,2023-07-23T03:40:30.000Z,Benjamin
224,O,2023-07-18T20:36:42.000Z,Gueldenpfenn
225,X,2023-07-14T22:54:39.000Z,Marshall
226,O,2023-08-03T09:27:28.000Z,Moyano
227,A,2023-07-26T01:27:26.000Z,Schneider
228,O,2023-07-10T05:19:18.000Z,Hansmann
229,A,2023-07-18T08:28:14.000Z,Barth
230,X,2023-08-07T13:10:29.000Z,Trensch
231,O,2023-07-27T05:28:12.000Z,Jeremias
232,A,2023-07-23T13:20:43.000Z,Deichgraeber
233,A,2023-08-02T16:11:32.000Z,Hansmann
234,O,2023-08-03T04:14:19.000Z,Lindwurm
235,X,2023-07-16T01:16:51.000Z,Simonen
236,O,2023-07-09T06:11:53.000Z,Domenech
237,O,2023-07-29T06:05:05.000Z,Hunter
238,O,2023-07-26T09:41:54.000Z,Ryan
239,A,2023-07-24T11:25:54.000Z,Martin
240,X,2023-07-16T01:38:56.000Z,Fischer
241,O,2023-07-14T05:38:46.000Z,Koslowski
242,O,2023-08-06T18:12:35.000Z,Lautenbach
243,O,2023-07-29T23:14:19.000Z,Waldmann
244,O,2023-07-03T21:36:07.000Z,Dumbach
245,X,2023-07-10T16:27:31.000Z,Neubasler
246,O,2023-07-29T10:46:42.000Z,Henry
247,O,2023-07-24T12:39:12.000Z,Mechler
248,O,2023-07-27T04:50:00.000Z,Mustermann
249,O,2023-07-13T10:15:20.000Z,Koller
250,X,2023-07-30T22:34:59.000Z,Miguel
251,A,2023-07-24T12:52:51.000Z,Hoffen
252,O,2023-07-13T11:19:44.000Z,Wohl
253,O,2023-07-26T04:56:13.000Z,D´Oultrement
254,O,2023-07-25T10:28:42.000Z,Hunter
255,X,2023-08-03T13:32:45.000Z,Hansmann
256,O,2023-07-21T15:32:21.000Z,Buehler
257,O,2023-07-04T08:31:49.000Z,Sessler
258,O,2023-07-28T07:13:46.000Z,Benz
259,A,2023-08-04T22:06:27.000Z,Ryan
260,X,2023-07-18T23:24:50.000Z,Sisko
261,A,2023-07-27T20:21:07.000Z,Mustermann
262,O,2023-08-04T20:37:29.000Z,Vrsic
263,O,2023-07-21T18:55:45.000Z,Benjamin
264,O,2023-07-05T01:11:46.000Z,Lautenbach
265,X,2023-07-22T05:41:50.000Z,Simonen
266,O,2023-07-23T07:31:22.000Z,Detemple
267,O,2023-07-10T15:51:58.000Z,Buehler
268,O,2023-07-10T02:23:52.000Z,Kirk
269,O,2023-07-17T16:44:01.000Z,Hoffen
270,X,2023-07-18T01:20:44.000Z,Babilon
271,O,2023-07-29T14:35:39.000Z,Buchholm
272,O,2023-08-03T10:02:15.000Z,Buchholm
273,O,2023-07-22T17:14:07.000Z,Mechler
274,A,2023-07-14T16:41:52.000Z,Neubasler
275,X,2023-07-21T20:44:48.000Z,Jacqmain
276,A,2023-08-02T20:41:56.000Z,Marshall
277,O,2023-07-21T07:26:39.000Z,Eichbaum
278,O,2023-07-06T15:19:58.000Z,Fischmann
